cate,cost
IH.CFE,0.000530336
IF.CFE,0.00019406
IC.CFE,0.000203
TF.CFE,0.000153845
T.CFE,0.000156137
AU.SHF,0.000580356
AG.SHF,0.000798316
CU.SHF,0.000681579
AL.SHF,0.001116416
ZN.SHF,0.000692995
NI.SHF,0.00085472
SN.SHF,0.0006444
PB.SHF,0.000876587
RB.SHF,0.000989416
HC.SHF,0.000977193
I.DCE,0.003148296
JM.DCE,0.001340934
J.DCE,0.000854827
ZC.CZC,0.001089415
RU.SHF,0.001159827
BU.SHF,0.002631646
TA.CZC,0.001359943
MA.CZC,0.001333162
PP.DCE,0.000391364
L.DCE,0.001702343
V.DCE,0.00241505
FG.CZC,0.002336025
SR.CZC,0.000521988
CF.CZC,0.001079967
OI.CZC,0.000973066
RM.CZC,0.001364181
A.DCE,0.001595641
M.DCE,0.001141009
Y.DCE,0.001041567
P.DCE,0.001174081
C.DCE,0.001858051
CS.DCE,0.001560284
JD.DCE,0.000789551
